epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1840.01,1.12812,3.13083,1.71377,0.00478,0.966,0.15749,0.07485,1.65122,4.01149,2.29511,0.000363836,0.000363836,0.000363836
2,15625.1,1.18035,2.62211,1.73784,0.51731,0.15251,0.1468,0.06699,1.84328,4.66541,2.53856,0.000719633,0.000719633,0.000719633
3,16038.9,1.20967,2.48587,1.74075,0.58081,0.3165,0.25153,0.13255,1.53536,3.81961,2.39428,0.00106076,0.00106076,0.00106076
4,16408.3,1.20272,2.38221,1.73791,0.24249,0.4123,0.18179,0.10441,1.75715,4.05071,2.58275,0.00104501,0.00104501,0.00104501
5,16783.2,1.16384,2.21436,1.69746,0.55841,0.3874,0.322,0.16025,1.80904,3.03717,2.45727,0.00102301,0.00102301,0.00102301
6,17775.8,1.14948,2.15169,1.68301,0.38542,0.44717,0.39831,0.25294,1.46857,2.67052,2.31041,0.00100101,0.00100101,0.00100101
7,20386.2,1.14381,2.04299,1.67607,0.47498,0.50355,0.45732,0.2985,1.38981,2.21002,2.21533,0.000979013,0.000979013,0.000979013
8,20714.7,1.11875,2.01542,1.65812,0.56075,0.36873,0.3517,0.15831,1.92161,3.12781,2.45326,0.000957015,0.000957015,0.000957015
9,21083.1,1.08542,1.93722,1.63379,0.47678,0.54134,0.4554,0.28198,1.39397,2.21063,2.12379,0.000935018,0.000935018,0.000935018
10,21452.4,1.04317,1.8951,1.599,0.52677,0.45656,0.48513,0.26738,1.52932,2.2577,2.1298,0.00091302,0.00091302,0.00091302
11,21799.1,1.08925,1.83818,1.62653,0.43168,0.44233,0.3953,0.23459,1.50797,2.55262,2.12149,0.000891022,0.000891022,0.000891022
12,82088.8,1.04239,1.81173,1.59751,0.48195,0.48303,0.47227,0.27882,1.6019,2.1984,2.1727,0.000869024,0.000869024,0.000869024
13,82500.2,1.04322,1.78194,1.61168,0.51422,0.57029,0.49671,0.30377,1.47015,2.13803,2.16672,0.000847026,0.000847026,0.000847026
14,82871.8,1.0323,1.73379,1.58795,0.57298,0.42669,0.48644,0.2688,1.56113,2.20776,2.33045,0.000825029,0.000825029,0.000825029
15,83668.9,1.00658,1.68442,1.58846,0.63125,0.53266,0.54952,0.34152,1.32848,1.97855,2.10126,0.000803031,0.000803031,0.000803031
16,84040.4,1.05181,1.69191,1.60094,0.44053,0.50298,0.47071,0.25408,1.65047,2.38629,2.16403,0.000781033,0.000781033,0.000781033
17,84408.4,1.00129,1.65213,1.57183,0.73314,0.50502,0.52427,0.32209,1.5137,1.94858,2.15585,0.000759035,0.000759035,0.000759035
18,84774.8,0.99026,1.58115,1.54558,0.57585,0.56872,0.54115,0.31009,1.73274,1.9377,2.24452,0.000737037,0.000737037,0.000737037
19,85142.8,0.97505,1.53686,1.53079,0.49234,0.55285,0.47584,0.30612,1.52587,2.23614,2.12295,0.00071504,0.00071504,0.00071504
20,103926,0.96859,1.55533,1.54444,0.51739,0.51545,0.4397,0.27472,1.43155,2.25313,2.06822,0.000693042,0.000693042,0.000693042
21,105406,0.96513,1.49822,1.53351,0.77702,0.53434,0.572,0.35082,1.51944,1.76576,2.26918,0.000671044,0.000671044,0.000671044
22,153437,0.96651,1.49494,1.52532,0.54526,0.54614,0.51212,0.31685,1.55227,1.96575,2.17699,0.000649046,0.000649046,0.000649046
23,185814,0.9436,1.43988,1.51429,0.52953,0.4925,0.49444,0.26957,1.6823,2.10156,2.2503,0.000627048,0.000627048,0.000627048
24,190331,0.91034,1.39822,1.49407,0.56178,0.61451,0.6141,0.35231,1.57977,1.72875,2.23537,0.000605051,0.000605051,0.000605051
25,235798,0.90393,1.36856,1.48462,0.54182,0.56912,0.58117,0.34498,1.57949,1.80136,2.21635,0.000583053,0.000583053,0.000583053
26,236412,0.90607,1.37046,1.48213,0.56997,0.51689,0.51509,0.30903,1.67768,1.99125,2.26556,0.000561055,0.000561055,0.000561055
27,236762,0.8813,1.30478,1.46333,0.52465,0.6083,0.54231,0.31766,1.62607,1.92776,2.24298,0.000539057,0.000539057,0.000539057
28,237119,0.88505,1.30063,1.45791,0.51321,0.56902,0.54398,0.34758,1.47889,1.68363,2.18687,0.000517059,0.000517059,0.000517059
29,237460,0.8672,1.27366,1.44238,0.55605,0.56692,0.5577,0.32795,1.48628,1.84526,2.34945,0.000495062,0.000495062,0.000495062
30,237824,0.85958,1.25089,1.45111,0.57154,0.6582,0.54684,0.31637,1.55826,2.01244,2.27594,0.000473064,0.000473064,0.000473064
31,238183,0.84002,1.22429,1.4285,0.53575,0.59933,0.55582,0.34482,1.47736,1.80119,2.13952,0.000451066,0.000451066,0.000451066
32,238542,0.83968,1.19106,1.43632,0.59937,0.51532,0.51567,0.31951,1.48063,1.88172,2.05085,0.000429068,0.000429068,0.000429068
33,238919,0.86377,1.20819,1.44974,0.5816,0.62664,0.6066,0.36422,1.58536,1.74529,2.1969,0.00040707,0.00040707,0.00040707
34,239278,0.83781,1.18988,1.41355,0.62948,0.53061,0.58198,0.3526,1.49567,1.7502,2.12923,0.000385073,0.000385073,0.000385073
35,239648,0.82169,1.10167,1.41403,0.57132,0.58912,0.5719,0.33351,1.54154,1.80546,2.19949,0.000363075,0.000363075,0.000363075
36,240028,0.81635,1.14407,1.39711,0.66329,0.56137,0.57641,0.33194,1.65418,1.69465,2.3784,0.000341077,0.000341077,0.000341077
37,240385,0.80412,1.11627,1.38492,0.64694,0.60332,0.60644,0.34941,1.61133,1.68897,2.27977,0.000319079,0.000319079,0.000319079
38,240744,0.7775,1.07214,1.37152,0.68149,0.48803,0.56645,0.29758,1.75383,1.89679,2.47731,0.000297081,0.000297081,0.000297081
39,241109,0.78502,1.07691,1.37915,0.60193,0.54856,0.55458,0.33878,1.6121,1.7687,2.34382,0.000275084,0.000275084,0.000275084
40,241457,0.76409,1.03159,1.34896,0.61792,0.54414,0.55113,0.30849,1.71781,1.90788,2.40198,0.000253086,0.000253086,0.000253086
41,242729,0.81726,1.0801,1.5578,0.57864,0.54837,0.54191,0.32001,1.58824,1.91082,2.2172,0.000231088,0.000231088,0.000231088
42,243017,0.7455,0.91373,1.47533,0.52291,0.60257,0.53765,0.31925,1.69401,1.82604,2.42932,0.00020909,0.00020909,0.00020909
43,243407,0.71405,0.88956,1.44145,0.65849,0.5112,0.55318,0.31209,1.69164,1.93303,2.41781,0.000187092,0.000187092,0.000187092
44,243743,0.69826,0.84076,1.43026,0.61197,0.55244,0.54963,0.31823,1.6679,1.82677,2.35267,0.000165095,0.000165095,0.000165095
45,261755,0.68869,0.84907,1.41388,0.60677,0.5951,0.57395,0.32342,1.70599,1.85374,2.41299,0.000143097,0.000143097,0.000143097
46,262110,0.64408,0.7438,1.37125,0.63719,0.54542,0.56995,0.32895,1.70597,1.76618,2.49982,0.000121099,0.000121099,0.000121099
47,273373,0.65145,0.7421,1.36098,0.66336,0.54802,0.56352,0.32698,1.66353,1.84345,2.44286,9.91012e-05,9.91012e-05,9.91012e-05
48,276095,0.64612,0.72146,1.37129,0.55056,0.55315,0.54032,0.30746,1.78978,1.88223,2.57155,7.71034e-05,7.71034e-05,7.71034e-05
49,281002,0.62053,0.71447,1.34122,0.60696,0.55716,0.54528,0.32042,1.67274,1.81739,2.44951,5.51056e-05,5.51056e-05,5.51056e-05
50,323340,0.60972,0.67067,1.31885,0.57901,0.55984,0.54164,0.31917,1.69304,1.84756,2.48333,3.31078e-05,3.31078e-05,3.31078e-05
